vessel,Category,subcategory,length,beam,GT,DWT,year_built
CMA CGM IVANHOE,Container Ship,Container Ship,350,43,111249,138929,2008
CMA CGM PELLEAS,Container Ship,Container Ship,350,43,111249,138839,2008
CMA CGM ORFEO,Container Ship,Container Ship,350,43,111249,138882,2008
HYUNDAI EARTH,Container Ship,Container Ship,323,48,110632,124092,2016
EVER LEGEND,Container Ship,Container Ship,335,46,99995,103668,2013
EVER LEGACY,Container Ship,Container Ship,335,46,99995,103668,2013
EVER LEARNED,Container Ship,Container Ship,335,46,99995,103668,2013
EVER LOTUS,Container Ship,Container Ship,335,46,99995,103723,2013
EVER LENIENT,Container Ship,Container Ship,335,46,99995,103668,2014
EVER LAWFUL,Container Ship,Container Ship,335,46,99995,103668,2012
EVER LIVEN,Container Ship,Container Ship,335,46,99995,103668,2013
EVER LASTING,Container Ship,Container Ship,335,49,99995,103668,2012
EVER LADEN,Container Ship,Container Ship,335,46,99995,103668,2012
EVER LUCKY,Container Ship,Container Ship,335,46,99995,103668,2014
EVER LIBERAL,Container Ship,Container Ship,335,46,99995,103668,2014
EVER LAUREL,Container Ship,Container Ship,335,46,99995,103668,2012
EVER LOGIC,Container Ship,Container Ship,335,46,99995,103518,2013
EVER LEADING,Container Ship,Container Ship,335,49,99995,103668,2012
EVER LEGION,Container Ship,Container Ship,335,46,99995,103668,2013
EVER LAMBENT,Container Ship,Container Ship,335,49,99995,103668,2012
EVER LIBRA,Container Ship,Container Ship,335,49,99995,103668,2012
ONE ORPHEUS,Container Ship,Container Ship,336,46,99543,104525,2008
GERNER MAERSK,Container Ship,Container Ship,367,43,99002,115993,2008
GUNHILDE MAERSK,Container Ship,Container Ship,367,43,99002,115993,2008
CMA CGM CARL ANTOINE,Container Ship,Container Ship,300,48,96223,109903,2017
MSC SHAY,Container Ship,Container Ship,340,47,95681,122741,2009
MSC ELAINE,Container Ship,Container Ship,340,46,95681,122741,2009
HYUNDAI FORCE,Container Ship,Container Ship,340,46,95681,99043,2008
HYUNDAI BRAVE,Container Ship,Container Ship,340,46,95681,99123,2008
HYUNDAI COURAGE,Container Ship,Container Ship,340,46,95681,99052,2008
HYUNDAI FAITH,Container Ship,Container Ship,339,46,95681,98967,2008
CMACGM JACQUESJUNIOR,Container Ship,Container Ship,300,48,95680,110694,2016
CMA CGM NIAGARA,Container Ship,Container Ship,300,48,95680,110283,2015
CMA CGM COLUMBIA,Container Ship,Container Ship,300,48,95680,110525,2015
CMA CGM OHIO,Container Ship,Container Ship,300,48,95680,109957,2015
CMA CGM RIO GRANDE,Container Ship,Container Ship,300,48,95680,109927,2016
CMA CGM ARKANSAS,Container Ship,Container Ship,300,48,95680,110283,2015
MSC CHLOE,Container Ship,Container Ship,300,48,95514,131034,2016
MSC BRANKA,Container Ship,Container Ship,300,48,95514,131034,2016
MSC CLEA,Container Ship,Container Ship,300,48,95514,131034,2016
MSC SASHA,Container Ship,Container Ship,300,48,95514,131034,2016
MSC JEONGMIN,Container Ship,Container Ship,300,48,95514,131034,2016
MSC MAXINE,Container Ship,Container Ship,300,48,95514,131034,2015
MSC DOMITILLE,Container Ship,Container Ship,300,48,95514,130819,2015
KUALA LUMPUR EXPRESS,Container Ship,Container Ship,336,43,93811,103538,2008
COLOMBO EXPRESS,Container Ship,Container Ship,335,43,93750,103800,2005
KYOTO EXPRESS,Container Ship,Container Ship,335,43,93750,103890,2005
PRAGUE EXPRESS,Container Ship,Container Ship,336,43,93750,104014,2010
BUDAPEST EXPRESS,Container Ship,Container Ship,335,43,93750,103662,2010
OSAKA EXPRESS,Container Ship,Container Ship,335,43,93750,103681,2007
NAGOYA EXPRESS,Container Ship,Container Ship,335,43,93750,103646,2010
VIENNA EXPRESS,Container Ship,Container Ship,335,43,93750,103648,2010
FRANKFURT EXPRESS,Container Ship,Container Ship,335,43,93750,103994,2010
BREMEN EXPRESS,Container Ship,Container Ship,335,43,93750,103567,2008
TSINGTAO EXPRESS,Container Ship,Container Ship,335,43,93750,103631,2007
SOFIA EXPRESS,Container Ship,Container Ship,335,43,93750,104007,2010
HANOVER EXPRESS,Container Ship,Container Ship,335,43,93750,103760,2007
CMA CGM YUKON,Container Ship,Container Ship,300,48,93702,117366,2016
MAERSK SARAT,Container Ship,Container Ship,300,48,93702,111614,2015
MAERSK SKARSTIND,Container Ship,Container Ship,300,48,93702,111614,2016
CMA CGM NILE,Container Ship,Container Ship,300,48,93702,117293,2015
CORCOVADO,Container Ship,Container Ship,300,48,93685,116933,2015
CAUQUENES,Container Ship,Container Ship,300,48,93685,116933,2015
CAUTIN,Container Ship,Container Ship,300,48,93685,116933,2014
C HAMBURG,Container Ship,Container Ship,334,43,91203,103845,2009
MAERSK ATHABASCA,Container Ship,Container Ship,334,43,91158,108574,2010
MAERSK AMAZON,Container Ship,Container Ship,334,43,91158,108574,2009
ZIM SAN DIEGO,Container Ship,Container Ship,334,43,91158,108464,2010
ZIM NINGBO,Container Ship,Container Ship,334,43,91158,108427,2009
COSCO INDONESIA,Container Ship,Container Ship,334,43,91051,102875,2010
COSCO VIETNAM,Container Ship,Container Ship,334,43,91051,108691,2011
COSCO PHILIPPINES,Container Ship,Container Ship,334,43,91051,101200,2010
COSCO PRINCE RUPERT,Container Ship,Container Ship,334,43,91051,108558,2011
COSCO JAPAN,Container Ship,Container Ship,334,43,91051,102834,2010
COSCO MALAYSIA,Container Ship,Container Ship,334,43,91051,102834,2010
COSCO KOREA,Container Ship,Container Ship,334,43,91051,102710,2010
COSCO THAILAND,Container Ship,Container Ship,334,43,91051,101200,2010
MSC GREENWICH,Container Ship,Container Ship,334,43,91038,101847,2004
MSC BUSAN,Container Ship,Container Ship,325,43,91023,125943,2005
MSC JUDITH,Container Ship,Container Ship,325,43,91023,126591,2006
MSC CHARLESTON,Container Ship,Container Ship,325,43,91023,126053,2006
MSC TORONTO,Container Ship,Container Ship,325,43,91023,126123,2006
MSC BEIJING,Container Ship,Container Ship,325,43,91023,126073,2005
CMA CGM LA SCALA,Container Ship,Container Ship,334,43,90931,109021,2010
TIRUA,Container Ship,Container Ship,300,46,88586,94374,2012
TUCAPEL,Container Ship,Container Ship,300,46,88586,98774,2012
TOLTEN,Container Ship,Container Ship,300,46,88586,94600,2012
TUBUL,Container Ship,Container Ship,300,46,88586,94665,2011
TORRENTE,Container Ship,Container Ship,300,46,88586,94661,2011
TEMPANOS,Container Ship,Container Ship,300,46,88586,94649,2011
TENO,Container Ship,Container Ship,300,46,88586,94526,2011
KIEL EXPRESS,Container Ship,Container Ship,321,43,88493,100019,2003
DALIAN EXPRESS,Container Ship,Container Ship,321,43,88493,100006,2001
NINGBO EXPRESS,Container Ship,Container Ship,321,43,88493,100016,2002
YANTIAN EXPRESS,Container Ship,Container Ship,321,43,88493,100003,2002
ONE COSMOS,Container Ship,Container Ship,320,46,88089,90466,2008
ONE CONTINUITY,Container Ship,Container Ship,320,46,88089,90466,2008
APL ANTWERP,Container Ship,Container Ship,320,46,87865,90647,2013
ANL GIPPSLAND,Container Ship,Container Ship,320,46,87865,90799,2013
OOCL DURBAN,Container Ship,Container Ship,316,46,87697,90079,2011
HAKATA SEOUL,Container Ship,Container Ship,316,46,87697,90488,2010
OOCL BRAZIL,Container Ship,Container Ship,316,46,87697,90414,2010
ONE COMPETENCE,Container Ship,Container Ship,316,46,87035,90373,2008
ONE CONTRIBUTION,Container Ship,Container Ship,316,46,87023,89893,2014
EVER STEADY,Container Ship,Container Ship,300,43,76261,78268,2006
EVER STRONG,Container Ship,Container Ship,300,43,76261,78715,2007
EVER SUMMIT,Container Ship,Container Ship,300,43,76261,78612,2007
MSC PHOENIX,Container Ship,Container Ship,300,40,76199,80270,2003
EVER SMILE,Container Ship,Container Ship,300,43,76185,78268,2006
EVER SUPERB,Container Ship,Container Ship,300,43,76185,78268,2006
EVER SHINE,Container Ship,Container Ship,300,43,76185,78268,2005
EVER SIGMA,Container Ship,Container Ship,300,43,76185,78268,2005
EVER SMART,Container Ship,Container Ship,300,43,76185,78268,2006
EVER EXCEL,Container Ship,Container Ship,300,43,76067,75898,2002
EVER EAGLE,Container Ship,Container Ship,300,43,76067,75898,2001
EVER ETHIC,Container Ship,Container Ship,300,43,76067,75898,2003
EVER ENVOY,Container Ship,Container Ship,300,43,76067,75898,2002
EVER ELITE,Container Ship,Container Ship,300,43,76067,75898,2002
PRESIDENTFDROOSEVELT,Container Ship,Container Ship,306,40,75752,81002,2010
ESL WASL,Container Ship,Container Ship,306,40,75752,81002,2010
ESL BUSAN,Container Ship,Container Ship,306,40,75752,81002,2009
KALAHARI EXPRESS,Container Ship,Container Ship,306,40,75752,81002,2010
MEHUIN,Container Ship,Container Ship,306,40,75752,81002,2011
MAIPO,Container Ship,Container Ship,306,40,75752,81002,2010
SUAPE EXPRESS,Container Ship,Container Ship,293,40,71786,72982,2008
BF HAMBURG,Container Ship,Container Ship,293,40,71786,72982,2009
LE HAVRE EXPRESS,Container Ship,Container Ship,293,40,71786,72982,2009
BRIGHTON,Container Ship,Container Ship,293,40,71786,72982,2008
MOL PREMIUM,Container Ship,Container Ship,293,40,71776,72912,2008
SFL MAUI,Container Ship,Container Ship,270,43,71112,80115,2013
PANDA 006,Container Ship,Container Ship,270,43,71112,80229,2013
CMA CGM VOLTAIRE,Container Ship,Container Ship,270,43,71112,80228,2013
CMA CGM RIMBAUD,Container Ship,Container Ship,270,43,71112,80163,2013
COLOMBIA EXPRESS,Container Ship,Container Ship,270,43,71021,80274,2013
ALEXANDRA,Container Ship,Container Ship,270,43,71021,80274,2013
KRISTINA,Container Ship,Container Ship,270,43,71021,80277,2013
KATHERINE,Container Ship,Container Ship,270,43,71021,80295,2013
OLIVIA I,Container Ship,Container Ship,271,43,70704,79329,2015
SIMBA,Container Ship,Container Ship,271,43,70704,79294,2015
CAPE PIONEER,Container Ship,Container Ship,271,43,70704,79880,2017
ALEXIS,Container Ship,Container Ship,271,43,70704,79274,2015
SFL HAWAII,Container Ship,Container Ship,271,43,70262,80087,2014
TOKYO BAY,Container Ship,Container Ship,271,43,69809,80578,2013
CARDIFF,Container Ship,Container Ship,271,43,69809,80551,2014
MSC KRYSTAL,Container Ship,Container Ship,277,40,66399,80061,2008
MSC ORIANE,Container Ship,Container Ship,277,40,66399,72900,2008
MSC SORAYA,Container Ship,Container Ship,277,40,66399,73262,2008
TIAN SHUN HE,Container Ship,Container Ship,279,40,66380,67209,2005
TIAN XIANG HE,Container Ship,Container Ship,279,40,66380,67209,2005
TIAN CHANG HE,Container Ship,Container Ship,279,40,66380,67209,2005
TINA I,Container Ship,Container Ship,279,40,66332,67270,2004
LION,Container Ship,Container Ship,279,40,66332,66559,2001
IKARIA,Container Ship,Container Ship,279,40,66332,67164,2002
WAN HAI 625,Container Ship,Container Ship,279,40,66332,67270,2004
CHICAGO,Container Ship,Container Ship,279,40,66332,67170,2001
ENSENADA,Container Ship,Container Ship,279,40,66332,67170,2001
PORTO KAGIO,Container Ship,Container Ship,279,40,66332,67164,2002
MOLLY,Container Ship,Container Ship,279,40,66332,66559,2001
ADVANTAGE,Container Ship,Container Ship,279,40,66332,66532,2001
FOLEGANDROS,Container Ship,Container Ship,279,40,66332,67170,2001
KOTA LIMA,Container Ship,Container Ship,279,40,66292,67197,2002
GSL VIOLETTA,Container Ship,Container Ship,277,40,66289,67566,2000
OOCL NEW YORK,Container Ship,Container Ship,277,40,66289,67660,1999
GSL MELITA,Container Ship,Container Ship,277,40,66289,71071,2001
ZOI,Container Ship,Container Ship,275,40,65059,68121,2000
TONSBERG,Container Ship,Container Ship,275,40,65059,68142,2001
MSC KATYAYNI,Container Ship,Container Ship,275,40,64999,68363,1996
MSC ANSHIKA VI,Container Ship,Container Ship,275,40,64845,68047,2003
SINGAPORE,Container Ship,Container Ship,276,40,64502,66520,1995
APL THAILAND,Container Ship,Container Ship,276,40,64502,66520,1995
JAPAN,Container Ship,Container Ship,276,40,64502,66520,1995
APL CHINA,Container Ship,Container Ship,276,40,64502,66520,1995
YM FOUNTAIN,Container Ship,Container Ship,275,40,64254,68280,2004
CYPRESS,Container Ship,Container Ship,275,40,64254,68303,2001
YM COSMOS,Container Ship,Container Ship,275,40,64254,68413,2001
YM PLUM,Container Ship,Container Ship,275,40,64254,68413,2000
YM WEALTH,Container Ship,Container Ship,275,40,64254,68280,2004
YM ORCHID,Container Ship,Container Ship,275,40,64254,68303,2000
GREEN,Container Ship,Container Ship,275,40,64254,68413,2001
YM SUCCESS,Container Ship,Container Ship,275,40,64254,68615,2004
MSC SAMANTHA VI,Container Ship,Container Ship,275,40,64055,77414,1996
GENERAL,Container Ship,Container Ship,275,40,64054,68363,1996
FORTUNATE,Container Ship,Container Ship,275,40,64054,68363,1996
HIGHNESS,Container Ship,Container Ship,275,40,64054,68379,1996
BEHNAVAZ,Container Ship,Container Ship,294,32,54851,66460,2010
ANGEL,Container Ship,Container Ship,294,32,54828,65123,2006
JERSEY,Container Ship,Container Ship,294,32,54828,65123,2006
MSC SANTA MARIA,Container Ship,Container Ship,294,32,54809,67273,2005
MSC FELIXSTOWE,Container Ship,Container Ship,294,31,54809,67310,2005
SHIMIN,Container Ship,Container Ship,295,32,54809,67247,2005
CARAT,Container Ship,Container Ship,295,32,54809,66900,2005
LADYJANE,Container Ship,Container Ship,295,32,54809,67222,2005
OOCL ST.LAWRENCE,Container Ship,Container Ship,295,32,54809,67255,2005
GSL CHATEAU DIF,Container Ship,Container Ship,294,32,54778,68281,2007
COSCO BOSTON,Container Ship,Container Ship,294,32,54778,68240,2007
CMA CGM ALCAZAR,Container Ship,Container Ship,294,32,54778,68282,2007
COSCO NEW YORK,Container Ship,Container Ship,294,32,54778,68234,2007
MSC FABIENNE,Container Ship,Container Ship,294,32,54774,66694,2004
MSC POH LIN,Container Ship,Container Ship,294,32,54774,66786,2004
MSC VERACRUZ,Container Ship,Container Ship,294,32,54758,72717,2005
MSC TUXPAN,Container Ship,Container Ship,294,32,54758,72717,2005
MSC MANZANILLO,Container Ship,Container Ship,294,32,54758,72717,2005
SEATTLE EXPRESS,Container Ship,Container Ship,294,32,54675,68411,2008
LONG BEACH EXPRESS,Container Ship,Container Ship,294,32,54675,68463,2008
MAERSK VIRGINIA,Container Ship,Container Ship,292,32,50686,61609,2002
MAERSK UTAH,Container Ship,Container Ship,292,32,50686,61454,2006
MAERSK GAIRLOCH,Container Ship,Container Ship,292,32,50686,62207,2003
MAERSK GIRONDE,Container Ship,Container Ship,292,32,50686,61609,2002
MAERSK OHIO,Container Ship,Container Ship,292,32,50686,61454,2006
SAFMARINE MERU,Container Ship,Container Ship,292,32,50686,61392,2006
MAERSK GATESHEAD,Container Ship,Container Ship,292,32,50686,61609,2002
MAERSK IOWA,Container Ship,Container Ship,292,32,50686,61454,2006
ATLANTIC,Container Ship,Container Ship,292,32,50644,62400,1995
ANTIC,Container Ship,Container Ship,292,32,50644,62422,1996
SAFMARINE NOMAZWE,Container Ship,Container Ship,266,37,50624,62994,2004
MAERSK NOKWANDA,Container Ship,Container Ship,266,37,50624,63150,2005
